,District_Name,Year,Male,Female,Total,Population_Density,Sex_Ratio,Literacy_Rate
72,NAGPUR,2012,2412941.100000001,2299222.2000000016,4712163.299999996,475.8999999999996,952.8999999999996,88.40000000000006
73,NAGPUR,2013,2440907.200000001,2329849.4000000013,4770756.599999996,481.7999999999996,954.7999999999996,88.80000000000005
74,NAGPUR,2014,2468873.3000000007,2360476.6000000015,4829349.899999997,487.6999999999996,956.6999999999997,89.20000000000006
75,NAGPUR,2015,2496839.400000001,2391103.800000001,4887943.199999996,493.5999999999996,958.5999999999997,89.60000000000005
76,NANDEN,2012,1754946.699999999,1654848.6000000013,3409795.299999998,323.60000000000014,943.1000000000008,75.70000000000003
77,NANDEN,2013,1779818.399999999,1678480.2000000011,3458298.599999998,328.2000000000001,943.2000000000008,76.40000000000003
78,NANDEN,2014,1804690.0999999992,1702111.8000000012,3506801.899999998,332.8000000000001,943.3000000000008,77.10000000000002
79,NANDEN,2015,1829561.799999999,1725743.400000001,3555305.1999999983,337.4000000000001,943.4000000000008,77.80000000000003
80,NANDURBAR,2012,,,,,,
81,NANDURBAR,2013,,,,,,
82,NANDURBAR,2014,,,,,,
83,NANDURBAR,2015,,,,,,
84,NASHIK,2012,3213813.399999998,3004712.700000002,6218526.099999997,400.1000000000001,934.7000000000008,82.8
85,NASHIK,2013,3270440.799999998,3059424.400000002,6329865.199999997,407.20000000000005,935.4000000000008,83.6
86,NASHIK,2014,3327068.1999999983,3114136.100000002,6441204.299999997,414.30000000000007,936.1000000000008,84.4
87,NASHIK,2015,3383695.599999998,3168847.8000000017,6552543.399999998,421.40000000000003,936.8000000000008,85.2
88,OSMANABAD,2012,870751.699999999,803923.3,1674674.999999999,221.3,923.2000000000004,78.90000000000008
89,OSMANABAD,2013,879968.3999999991,811805.6,1691773.999999999,223.6,922.4000000000003,79.80000000000007
90,OSMANABAD,2014,889185.099999999,819687.9,1708872.999999999,225.9,921.6000000000004,80.70000000000007
91,OSMANABAD,2015,898401.7999999991,827570.2,1725971.999999999,228.2,920.8000000000003,81.60000000000007
92,PARBHANI,2012,959137.8999999999,907785.2,1866923.100000001,299.8999999999998,945.8999999999996,73.7
93,PARBHANI,2013,975405.7999999999,922354.4,1897760.200000001,304.79999999999984,944.7999999999996,74.4
94,PARBHANI,2014,991673.6999999998,936923.6,1928597.300000001,309.6999999999998,943.6999999999997,75.1
95,PARBHANI,2015,1007941.5999999999,951492.8,1959434.4000000008,314.59999999999985,942.5999999999997,75.8
96,PUNE,2012,5039602.7,4609490.6,9649093.3,617.1000000000003,914.6000000000004,86.6
97,PUNE,2013,5155100.4,4713678.2,9868778.6,631.2000000000003,914.2000000000004,87.2
98,PUNE,2014,5270598.1,4817865.8,10088463.9,645.3000000000002,913.8000000000003,87.8
99,PUNE,2015,5386095.8,4922053.4,10308149.2,659.4000000000002,913.4000000000003,88.4
100,RAIGARH,2012,1367016.6999999997,1309810.3999999985,2676827.100000001,373.8999999999996,957.2999999999996,83.5999999999999
101,RAIGARH,2013,1389688.3999999997,1329765.7999999986,2719454.200000001,379.7999999999996,955.5999999999997,84.1999999999999
