,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2,RSPM_PM10,SO2,SPM,SO2_MOM_diff,month_number_diff,NO2_MOM_diff,RSPM_PM10_MOM_diff,SPM_MOM_diff
192,Amravati,Industrial,20150110,2015,11,12.5,104.0,11.5,,-0.5,1.0,-0.5,0.0,
193,Amravati,Industrial,20150120,2015,12,13.0,104.0,11.0,,-0.5,1.0,0.5,0.0,
194,Amravati,Residential,20060010,2006,1,15.0,,10.8,,,,,,
195,Amravati,Residential,20060020,2006,2,24.65,,13.7,,2.8999999999999986,1.0,9.649999999999999,,
196,Amravati,Residential,20060030,2006,3,20.15,,12.95,,-0.75,1.0,-4.5,,
197,Amravati,Residential,20060040,2006,4,13.850000000000001,,9.1,,-3.8499999999999996,1.0,-6.299999999999997,,
198,Amravati,Residential,20060050,2006,5,9.5,,9.2,,0.09999999999999964,1.0,-4.350000000000001,,
199,Amravati,Residential,20060060,2006,6,22.4,,9.4,,0.20000000000000107,1.0,12.899999999999999,,
200,Amravati,Residential,20060090,2006,9,23.200000000000003,,12.9,,,3.0,,,
201,Amravati,Residential,20060100,2006,10,19.3,,13.4,,0.5,1.0,-3.900000000000002,,
202,Amravati,Residential,20060110,2006,11,19.1,,10.9,,-2.5,1.0,-0.1999999999999993,,
203,Amravati,Residential,20060120,2006,12,12.3,,10.3,,-0.5999999999999996,1.0,-6.800000000000001,,
204,Amravati,Residential,20070010,2007,1,12.5,62.0,9.9,,-0.40000000000000036,-11.0,0.1999999999999993,,
205,Amravati,Residential,20070020,2007,2,13.5,62.5,10.3,,0.40000000000000036,1.0,1.0,0.5,
206,Amravati,Residential,20070030,2007,3,14.8,75.0,11.5,,1.1999999999999993,1.0,1.3000000000000007,12.5,
207,Amravati,Residential,20070040,2007,4,16.1,75.0,11.2,,-0.3000000000000007,1.0,1.3000000000000007,0.0,
208,Amravati,Residential,20070050,2007,5,13.4,63.0,10.1,,-1.0999999999999996,1.0,-2.700000000000001,-12.0,
209,Amravati,Residential,20070060,2007,6,9.6,53.0,8.2,,-1.9000000000000004,1.0,-3.8000000000000007,-10.0,
210,Amravati,Residential,20070070,2007,7,10.25,63.0,8.8,,0.6000000000000014,1.0,0.6500000000000004,10.0,
211,Amravati,Residential,20070080,2007,8,11.8,53.5,8.3,,-0.5,1.0,1.5500000000000007,-9.5,
212,Amravati,Residential,20070090,2007,9,12.7,47.0,9.85,,1.549999999999999,1.0,0.8999999999999986,-6.5,
213,Amravati,Residential,20070100,2007,10,9.9,50.0,9.45,,-0.40000000000000036,1.0,-2.799999999999999,3.0,
214,Amravati,Residential,20070110,2007,11,12.9,59.0,10.0,,0.5500000000000007,1.0,3.0,9.0,
215,Amravati,Residential,20070120,2007,12,12.45,54.5,8.35,,-1.6500000000000004,1.0,-0.45000000000000107,-4.5,
216,Amravati,Residential,20080010,2008,1,10.5,37.0,6.8,,-1.5499999999999998,-11.0,-1.9499999999999993,-17.5,
217,Amravati,Residential,20080020,2008,2,13.4,72.0,9.95,,3.1499999999999995,1.0,2.9000000000000004,35.0,
218,Amravati,Residential,20080030,2008,3,11.15,59.5,9.0,,-0.9499999999999993,1.0,-2.25,-12.5,
219,Amravati,Residential,20080040,2008,4,10.1,48.5,8.85,,-0.15000000000000036,1.0,-1.0500000000000007,-11.0,
220,Amravati,Residential,20080050,2008,5,14.3,81.0,11.35,,2.5,1.0,4.200000000000001,32.5,
221,Amravati,Residential,20080060,2008,6,11.0,67.0,9.2,,-2.1500000000000004,1.0,-3.3000000000000007,-14.0,
222,Amravati,Residential,20080070,2008,7,8.8,52.0,8.3,,-0.8999999999999986,1.0,-2.1999999999999993,-15.0,
223,Amravati,Residential,20080080,2008,8,11.8,47.0,9.5,,1.1999999999999993,1.0,3.0,-5.0,
