,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff
40,Akola,Industrial,20150110,2015,11,10.0,128.5,9.0,,0.0,-1.0,-0.5,,9.0,123.8,8.0,,-0.8000000000000007,0.0,-2.799999999999997,,13.1,146.10000000000005,11.2,,1.0,2.0999999999999996,1.1999999999999993,11.900000000000063,
41,Akola,Industrial,20150120,2015,12,11.0,131.0,9.0,,0.0,1.0,2.5,,10.0,128.9,8.899999999999997,,1.0,0.8999999999999968,5.1000000000000085,,12.0,134.2,9.1,,1.0,-1.0999999999999996,-2.0999999999999996,-11.900000000000063,
42,Akola,Residential,20110010,2011,1,8.5,124.0,7.0,,,,,,8.0,123.0,7.0,,,,,,9.0,125.0,7.0,,,,,,
43,Akola,Residential,20110020,2011,2,9.0,127.5,8.0,,1.0,0.5,3.5,,8.0,124.0,7.0,,0.0,0.0,1.0,,10.0,131.0,9.0,,1.0,1.0,2.0,6.0,
44,Akola,Residential,20110030,2011,3,9.0,127.0,7.5,,-0.5,0.0,-0.5,,8.0,122.0,6.0,,0.0,-1.0,-2.0,,10.0,132.0,9.0,,1.0,0.0,0.0,1.0,
45,Akola,Residential,20110040,2011,4,10.0,130.0,8.0,,0.5,1.0,3.0,,8.3,116.7,7.0,,0.3000000000000007,1.0,-5.299999999999997,,10.7,131.0,8.700000000000001,,1.0,0.6999999999999993,-0.29999999999999893,-1.0,
46,Akola,Residential,20110050,2011,5,10.0,133.0,8.5,,0.5,0.0,3.0,,9.0,99.5,7.0,,0.6999999999999993,0.0,-17.200000000000003,,10.0,136.0,9.0,,1.0,-0.6999999999999993,0.29999999999999893,5.0,
47,Akola,Residential,20110060,2011,6,8.0,112.0,6.0,,-2.5,-2.0,-21.0,,6.7,89.5,5.0,,-2.3,-2.0,-10.0,,9.6,122.2,8.0,,1.0,-0.40000000000000036,-1.0,-13.799999999999997,
48,Akola,Residential,20110070,2011,7,9.5,95.0,5.5,,-0.5,1.5,-17.0,,9.0,52.0,5.0,,2.3,0.0,-37.5,,12.0,126.0,7.0,,1.0,2.4000000000000004,-1.0,3.799999999999997,
49,Akola,Residential,20110080,2011,8,8.0,118.0,6.0,,0.5,-1.5,23.0,,7.0,100.1,5.300000000000002,,-2.0,0.3000000000000016,48.099999999999994,,8.700000000000001,126.8,7.0,,1.0,-3.299999999999999,0.0,0.7999999999999972,
50,Akola,Residential,20110090,2011,9,10.0,121.0,6.0,,0.0,2.0,3.0,,7.9,108.9,6.0,,0.9000000000000004,0.6999999999999984,8.800000000000011,,11.0,131.9,8.400000000000002,,1.0,2.299999999999999,1.4000000000000021,5.1000000000000085,
51,Akola,Residential,20110100,2011,10,8.0,128.0,7.0,,1.0,-2.0,7.0,,8.0,125.0,7.0,,0.09999999999999964,1.0,16.099999999999994,,10.0,135.0,9.0,,1.0,-1.0,0.5999999999999979,3.0999999999999943,
52,Akola,Residential,20110110,2011,11,9.0,130.0,7.0,,0.0,1.0,2.0,,8.7,105.9,6.1000000000000005,,0.6999999999999993,-0.8999999999999995,-19.099999999999994,,9.3,132.6,8.0,,1.0,-0.6999999999999993,-1.0,-2.4000000000000057,
