,City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,NO2_Median,RSPM_PM10_Median,SO2_Median,SPM_Median,Median_SO2_MOM_diff,Median_NO2_MOM_diff,Median_RSPM_PM10_MOM_diff,Median_SPM_MOM_diff,NO2_P10,RSPM_PM10_P10,SO2_P10,SPM_P10,P10_NO2_MOM_diff,P10_SO2_MOM_diff,P10_RSPM_PM10_MOM_diff,P10_SPM_MOM_diff,NO2_P90,RSPM_PM10_P90,SO2_P90,SPM_P90,month_number_diff,P90_NO2_MOM_diff,P90_SO2_MOM_diff,P90_RSPM_PM10_MOM_diff,P90_SPM_MOM_diff,year_number_diff,NO2_Median_YOY_diff,SO2_Median_YOY_diff,RSPM_PM10_Median_YOY_diff,SPM_Median_YOY_diff,NO2_P10_YOY_diff,SO2_P10_YOY_diff,RSPM_PM10_P10_YOY_diff,SPM_P10_YOY_diff,NO2_P90_YOY_diff,SO2_P90_YOY_diff,RSPM_PM10_P90_YOY_diff,SPM_P90_YOY_diff
26,Akola,Industrial,20110090,2011,9,10.0,136.0,8.0,,0.0,1.0,5.0,,10.0,131.4,7.7,,2.8,1.4999999999999991,28.400000000000006,,10.9,145.89999999999995,9.9,,1.0,-2.0999999999999996,-1.0999999999999996,-5.9000000000000625,,-2.0,,,,,,,,,,,,
27,Akola,Industrial,20120090,2012,9,10.0,127.665,9.0,,0.0,-1.5,7.164999999999992,,9.0,110.531,7.4,,-1.0,0.0,4.231000000000009,,12.0,146.53000000000003,10.3,,1.0,-0.3000000000000007,0.3000000000000007,3.43100000000004,,1.0,0.0,1.0,-8.334999999999994,,-1.0,-0.2999999999999998,-20.869,,1.0999999999999996,0.40000000000000036,0.6300000000000807,
28,Akola,Industrial,20130090,2013,9,8.0,122.0,7.0,,0.0,0.0,1.0,,7.0,119.4,6.0,,0.0,-1.0,1.4000000000000057,,8.3,126.0,7.0,,1.0,-0.6999999999999993,-0.40000000000000036,0.5999999999999943,,1.0,-2.0,-2.0,-5.665000000000006,,-2.0,-1.4000000000000004,8.869,,-3.6999999999999993,-3.3000000000000007,-20.53000000000003,
29,Akola,Industrial,20150090,2015,9,10.0,129.0,9.0,,,,,,8.8,124.6,8.0,,,,,,10.2,133.4,9.2,,2.0,,,,,2.0,,,,,,,,,,,,
30,Akola,Industrial,20110100,2011,10,10.5,141.0,9.0,,1.0,0.5,5.0,,8.5,126.0,7.5,,-1.5,-0.20000000000000018,-5.400000000000006,,11.0,144.0,9.0,,1.0,0.09999999999999964,-0.9000000000000004,-1.8999999999999488,,-4.0,,,,,,,,,,,,
31,Akola,Industrial,20120100,2012,10,9.5,134.33,8.5,,-0.5,-0.5,6.6650000000000205,,9.0,128.33100000000002,7.7,,0.0,0.2999999999999998,17.80000000000001,,11.0,139.468,9.0,,1.0,-1.0,-1.3000000000000007,-7.06200000000004,,1.0,-1.0,-0.5,-6.6699999999999875,,0.5,0.20000000000000018,2.3310000000000173,,0.0,0.0,-4.532000000000011,
32,Akola,Industrial,20130100,2013,10,8.0,125.5,7.5,,0.5,0.0,3.5,,8.0,120.9,7.0,,1.0,1.0,1.5,,9.0,128.0,8.0,,1.0,0.6999999999999993,1.0,2.0,,1.0,-1.5,-1.0,-8.830000000000013,,-1.0,-0.7000000000000002,-7.431000000000012,,-2.0,-1.0,-11.46799999999999,
33,Akola,Industrial,20150100,2015,10,11.0,129.0,9.0,,0.0,1.0,0.0,,9.8,126.6,8.0,,1.0,0.0,2.0,,11.0,134.2,10.0,,1.0,0.8000000000000007,0.8000000000000007,0.799999999999983,,2.0,,,,,,,,,,,,
34,Akola,Industrial,20110110,2011,11,12.0,148.0,11.0,,2.0,1.5,7.0,,10.2,136.6,8.2,,1.6999999999999993,0.6999999999999993,10.599999999999994,,13.8,157.0,11.8,,1.0,2.8000000000000007,2.8000000000000007,13.0,,-4.0,,,,,,,,,,,,
35,Akola,Industrial,20120110,2012,11,12.0,146.33,10.0,,1.5,2.5,12.0,,11.0,140.33,9.0,,2.0,1.2999999999999998,11.998999999999995,,12.0,149.0,11.0,,1.0,1.0,2.0,9.53200000000001,,1.0,0.0,-1.0,-1.6699999999999875,,0.8000000000000007,0.8000000000000007,3.730000000000018,,-1.8000000000000007,-0.8000000000000007,-8.0,
36,Akola,Industrial,20130110,2013,11,7.0,130.0,6.0,,-1.5,-1.0,4.5,,6.7,129.0,5.699999999999998,,-1.2999999999999998,-1.3000000000000016,8.099999999999994,,8.0,130.60000000000002,7.0,,1.0,-1.0,-1.0,2.6000000000000227,,1.0,-5.0,-4.0,-16.330000000000013,,-4.3,-3.3000000000000016,-11.330000000000013,,-4.0,-4.0,-18.399999999999977,
37,Akola,Industrial,20150110,2015,11,10.0,128.5,9.0,,0.0,-1.0,-0.5,,9.0,123.8,8.0,,-0.8000000000000007,0.0,-2.799999999999997,,13.1,146.10000000000005,11.2,,1.0,2.0999999999999996,1.1999999999999993,11.900000000000063,,2.0,,,,,,,,,,,,
38,Akola,Industrial,20110120,2011,12,13.0,153.0,11.5,,0.5,1.0,5.0,,10.4,136.7,9.4,,0.20000000000000107,1.200000000000001,0.09999999999999432,,13.9,159.9,12.3,,1.0,0.09999999999999964,0.5,2.9000000000000057,,-4.0,,,,,,,,,,,,
