,City_Town_Village_Area,Type_of_Location,month_number,year_number,NO2,RSPM_PM10,SO2,SPM
203,Amravati,Residential,1,2015,15.0,150.8,13.6,
204,Amravati,Residential,2,2006,26.21,,13.780000000000001,
205,Amravati,Residential,2,2007,17.4,84.7,13.24,
206,Amravati,Residential,2,2008,18.12,106.4,13.700000000000003,
207,Amravati,Residential,2,2009,15.7,119.4,12.7,
208,Amravati,Residential,2,2010,16.700000000000003,187.10000000000002,15.0,
209,Amravati,Residential,2,2011,16.0,128.5,13.700000000000001,
210,Amravati,Residential,2,2012,14.9,143.83,13.0,
211,Amravati,Residential,2,2013,14.0,135.5,12.0,
212,Amravati,Residential,2,2014,14.8,147.6,13.0,
213,Amravati,Residential,2,2015,14.5,149.0,13.0,
214,Amravati,Residential,3,2006,23.07,,13.23,
215,Amravati,Residential,3,2007,20.58,96.19999999999999,17.14,
216,Amravati,Residential,3,2008,17.15,93.5,13.25,
217,Amravati,Residential,3,2009,15.85,109.0,12.9,
218,Amravati,Residential,3,2010,19.0,198.6,16.0,
219,Amravati,Residential,3,2011,15.2,129.4,12.2,
220,Amravati,Residential,3,2012,15.2,145.93,13.6,
221,Amravati,Residential,3,2013,14.7,139.1,13.0,
222,Amravati,Residential,3,2014,15.0,147.3,13.0,
223,Amravati,Residential,3,2015,15.4,147.2,14.0,
224,Amravati,Residential,4,2006,14.61,,10.14,
225,Amravati,Residential,4,2007,19.82,102.8,14.440000000000001,
226,Amravati,Residential,4,2008,20.6,113.0,14.8,
227,Amravati,Residential,4,2009,17.04,134.79999999999998,14.34,
228,Amravati,Residential,4,2010,18.0,190.3,15.3,
229,Amravati,Residential,4,2011,16.0,141.8,13.0,
230,Amravati,Residential,4,2012,16.0,145.202,13.0,
231,Amravati,Residential,4,2013,15.0,138.6,13.0,
232,Amravati,Residential,4,2014,15.0,151.8,13.700000000000001,
233,Amravati,Residential,4,2015,15.4,149.4,14.4,
234,Amravati,Residential,5,2006,9.5,,9.2,
235,Amravati,Residential,5,2007,22.0,134.0,14.34,
236,Amravati,Residential,5,2008,17.75,100.5,12.6,
237,Amravati,Residential,5,2009,16.36,112.6,13.420000000000002,
238,Amravati,Residential,5,2010,18.0,193.39999999999998,15.0,
239,Amravati,Residential,5,2011,18.0,153.4,15.0,
240,Amravati,Residential,5,2012,17.0,160.466,15.0,
241,Amravati,Residential,5,2014,18.4,150.2,15.4,
242,Amravati,Residential,6,2006,22.4,,9.4,
243,Amravati,Residential,6,2007,18.1,67.4,11.27,
244,Amravati,Residential,6,2008,15.25,83.0,12.9,
245,Amravati,Residential,6,2009,17.18,119.6,14.760000000000002,
246,Amravati,Residential,6,2010,17.0,183.89999999999998,15.600000000000001,
247,Amravati,Residential,6,2011,14.0,101.0,12.0,
248,Amravati,Residential,6,2012,14.0,144.33200000000002,12.4,
249,Amravati,Residential,6,2013,14.0,143.6,12.0,
250,Amravati,Residential,6,2014,14.0,141.4,12.4,
251,Amravati,Residential,6,2015,15.0,140.6,14.0,
252,Amravati,Residential,7,2007,17.5,84.6,12.5,
253,Amravati,Residential,7,2008,16.259999999999998,92.0,11.8,
254,Amravati,Residential,7,2009,15.200000000000001,102.2,12.5,
255,Amravati,Residential,7,2010,14.5,167.0,12.5,
256,Amravati,Residential,7,2011,14.4,128.4,13.0,
257,Amravati,Residential,7,2012,14.0,118.734,12.0,
258,Amravati,Residential,7,2013,15.8,143.7,13.8,
259,Amravati,Residential,7,2014,14.700000000000001,152.4,13.4,
260,Amravati,Residential,8,2007,15.600000000000001,72.20000000000002,10.5,
261,Amravati,Residential,8,2008,20.35,110.5,14.1,
262,Amravati,Residential,8,2009,16.62,101.4,13.64,
263,Amravati,Residential,8,2010,15.5,155.0,13.5,
264,Amravati,Residential,8,2011,14.0,96.80000000000001,13.0,
265,Amravati,Residential,8,2012,13.7,126.19900000000001,11.7,
266,Amravati,Residential,8,2013,14.9,143.4,12.0,
267,Amravati,Residential,8,2014,15.0,138.70000000000002,13.700000000000001,
268,Amravati,Residential,8,2015,14.0,149.4,13.0,
269,Amravati,Residential,9,2006,26.720000000000002,,13.620000000000001,
270,Amravati,Residential,9,2007,15.2,62.0,12.65,
271,Amravati,Residential,9,2008,16.38,89.39999999999999,12.22,
272,Amravati,Residential,9,2009,17.5,119.4,14.5,
273,Amravati,Residential,9,2010,16.4,136.60000000000002,13.8,
274,Amravati,Residential,9,2011,16.2,129.2,13.6,
275,Amravati,Residential,9,2012,14.0,123.0,12.6,
276,Amravati,Residential,9,2013,15.0,143.0,13.0,
277,Amravati,Residential,9,2014,15.0,138.2,13.0,
278,Amravati,Residential,9,2015,14.5,142.0,13.5,
279,Amravati,Residential,10,2006,28.02,,15.32,
280,Amravati,Residential,10,2007,17.8,86.6,13.2,
281,Amravati,Residential,10,2008,18.14,132.0,12.77,
282,Amravati,Residential,10,2009,16.8,116.0,14.5,
283,Amravati,Residential,10,2010,17.3,176.20000000000002,14.0,
284,Amravati,Residential,10,2011,15.0,104.20000000000002,12.200000000000003,
285,Amravati,Residential,10,2012,15.0,99.864,13.0,
286,Amravati,Residential,10,2013,15.0,135.4,13.200000000000001,
287,Amravati,Residential,10,2014,15.0,129.0,13.0,
288,Amravati,Residential,10,2015,15.0,153.60000000000002,14.0,
289,Amravati,Residential,11,2006,27.78,,13.76,
290,Amravati,Residential,11,2007,16.7,81.2,13.579999999999998,
291,Amravati,Residential,11,2008,15.1,154.0,12.3,
292,Amravati,Residential,11,2009,17.759999999999998,120.4,14.2,
293,Amravati,Residential,11,2010,16.0,143.2,14.0,
294,Amravati,Residential,11,2011,13.0,119.4,11.8,
295,Amravati,Residential,11,2012,16.0,132.334,14.0,
296,Amravati,Residential,11,2013,13.0,141.0,12.0,
297,Amravati,Residential,11,2014,14.0,140.4,13.0,
298,Amravati,Residential,11,2015,15.0,158.8,13.4,
299,Amravati,Residential,12,2006,18.5,,15.0,
300,Amravati,Residential,12,2007,21.0,77.5,10.850000000000001,
301,Amravati,Residential,12,2008,15.939999999999996,124.4,12.26,
302,Amravati,Residential,12,2009,16.759999999999998,129.0,13.54,
303,Amravati,Residential,12,2010,16.0,149.7,13.700000000000001,
304,Amravati,Residential,12,2011,16.0,127.39999999999999,14.0,
305,Amravati,Residential,12,2012,14.5,117.83500000000001,13.0,
306,Amravati,Residential,12,2013,15.0,143.5,13.0,
307,Amravati,Residential,12,2014,14.700000000000001,143.0,12.700000000000001,
308,Amravati,Residential,12,2015,15.0,146.3,13.3,
309,Aurangabad,Residential,1,2006,38.56,107.2,8.92,277.4
310,Aurangabad,Residential,1,2007,30.65,187.39999999999998,6.75,476.0
311,Aurangabad,Residential,1,2008,34.599999999999994,138.0,10.319999999999999,481.5000000000001
312,Aurangabad,Residential,1,2009,33.160000000000004,138.4,14.280000000000001,510.0
313,Aurangabad,Residential,1,2010,24.0,156.8,9.8,419.6
314,Aurangabad,Residential,1,2011,34.0,176.10000000000008,8.0,
315,Aurangabad,Residential,1,2012,44.5,109.5,12.0,
316,Aurangabad,Residential,1,2013,47.7,131.10000000000002,16.0,
317,Aurangabad,Residential,1,2014,51.4,133.60000000000002,19.4,
318,Aurangabad,Residential,1,2015,59.0,174.60000000000002,20.3,
319,Aurangabad,Residential,2,2005,27.5,,14.8,
320,Aurangabad,Residential,2,2006,40.0,52.7,5.8,118.3
321,Aurangabad,Residential,2,2007,25.799999999999997,107.6,7.32,408.6
322,Aurangabad,Residential,2,2008,34.480000000000004,167.80000000000004,8.6,485.6
323,Aurangabad,Residential,2,2009,36.5,153.5,10.600000000000001,502.5
324,Aurangabad,Residential,2,2010,27.6,96.102666668,9.0,294.8
325,Aurangabad,Residential,2,2011,34.0,104.5,10.0,
326,Aurangabad,Residential,2,2012,40.0,110.0,12.0,
327,Aurangabad,Residential,2,2013,45.0,93.8,15.0,
328,Aurangabad,Residential,2,2014,47.0,136.20000000000002,17.9,
329,Aurangabad,Residential,2,2015,52.0,138.20000000000002,17.0,
330,Aurangabad,Residential,3,2005,30.2,,10.3,
331,Aurangabad,Residential,3,2006,26.68,95.60000000000001,5.3,204.20000000000002
332,Aurangabad,Residential,3,2007,26.940000000000005,130.10000000000002,6.700000000000001,484.0
333,Aurangabad,Residential,3,2008,29.92,134.6,8.94,378.1
