City_Town_Village_Area,Type_of_Location,TS,year_number,month_number,year_number_diff,NO2_Median_YOY_diff,NO2_Median,Median_NO2_MOM_diff
Amravati,Industrial,20110100,2011,10,1,-0.25,13,1
Amravati,Industrial,20120100,2012,10,1,1,14,0
Amravati,Industrial,20130100,2013,10,1,-1.5,12.5,-2.5
Amravati,Industrial,20150100,2015,10,2,,13,1
Amravati,Industrial,20060110,2006,11,-9,,21.2,
Amravati,Industrial,20070110,2007,11,1,-8.5,12.7,2.2
Amravati,Industrial,20080110,2008,11,1,-0.2,12.5,-0.25
Amravati,Industrial,20090110,2009,11,1,2.55,15.05,0.8
Amravati,Industrial,20100110,2010,11,1,-0.466666665,14.58333334,1.333333335
Amravati,Industrial,20110110,2011,11,1,-2.583333335,12,-1
Amravati,Industrial,20120110,2012,11,1,1,13,-1
Amravati,Industrial,20130110,2013,11,1,1,14,1.5
Amravati,Industrial,20150110,2015,11,2,,12.5,-0.5
Amravati,Industrial,20060120,2006,12,-9,,14.65,-6.55
Amravati,Industrial,20070120,2007,12,1,-1.95,12.7,0
Amravati,Industrial,20080120,2008,12,1,-0.7,12,-0.5
Amravati,Industrial,20090120,2009,12,1,0.7,12.7,-2.35
Amravati,Industrial,20100120,2010,12,1,1.966666665,14.66666667,0.08333333
Amravati,Industrial,20110120,2011,12,1,-2.666666665,12,0
Amravati,Industrial,20120120,2012,12,1,1,13,0
Amravati,Industrial,20130120,2013,12,1,1,14,0
Amravati,Industrial,20150120,2015,12,2,,13,0.5
Amravati,Residential,20060010,2006,1,,,15,
Amravati,Residential,20070010,2007,1,1,-2.5,12.5,0.2
Amravati,Residential,20080010,2008,1,1,-2,10.5,-1.95
Amravati,Residential,20090010,2009,1,1,1.8,12.3,-0.4
Amravati,Residential,20100010,2010,1,1,0.7,13,0.8
Amravati,Residential,20110010,2011,1,1,1,14,-1
Amravati,Residential,20120010,2012,1,1,0,14,0
Amravati,Residential,20130010,2013,1,1,-1,13,0
Amravati,Residential,20140010,2014,1,1,0,13,-1
Amravati,Residential,20150010,2015,1,1,0,13,0
Amravati,Residential,20060020,2006,2,-9,,24.65,9.65
Amravati,Residential,20070020,2007,2,1,-11.15,13.5,1
Amravati,Residential,20080020,2008,2,1,-0.1,13.4,2.9
Amravati,Residential,20090020,2009,2,1,-0.6,12.8,0.5
Amravati,Residential,20100020,2010,2,1,1.7,14.5,1.5
Amravati,Residential,20110020,2011,2,1,-0.5,14,0
Amravati,Residential,20120020,2012,2,1,-0.5,13.5,-0.5
Amravati,Residential,20130020,2013,2,1,-0.5,13,0
Amravati,Residential,20140020,2014,2,1,0,13,0
Amravati,Residential,20150020,2015,2,1,0,13,0
Amravati,Residential,20060030,2006,3,-9,,20.15,-4.5
Amravati,Residential,20070030,2007,3,1,-5.35,14.8,1.3
Amravati,Residential,20080030,2008,3,1,-3.65,11.15,-2.25
Amravati,Residential,20090030,2009,3,1,1.9,13.05,0.25
Amravati,Residential,20100030,2010,3,1,2.95,16,1.5
Amravati,Residential,20110030,2011,3,1,-3,13,-1
Amravati,Residential,20120030,2012,3,1,0,13,-0.5
Amravati,Residential,20130030,2013,3,1,0,13,0
Amravati,Residential,20140030,2014,3,1,0,13,0
Amravati,Residential,20150030,2015,3,1,1,14,1
Amravati,Residential,20060040,2006,4,-9,,13.85,-6.3
Amravati,Residential,20070040,2007,4,1,2.25,16.1,1.3
Amravati,Residential,20080040,2008,4,1,-6,10.1,-1.05
Amravati,Residential,20090040,2009,4,1,4.6,14.7,1.65
Amravati,Residential,20100040,2010,4,1,0.3,15,-1
Amravati,Residential,20110040,2011,4,1,-1,14,1
